                                                           The SAS System                           13:53 Monday, April 24, 2017   1

                                                  Obs    cup              tempdiff

                                                    1    Starbucks              13
                                                    2    Starbucks               7
                                                    3    Starbucks               7
                                                    4    Starbucks            17.5
                                                    5    Starbucks              10
                                                    6    Starbucks            15.5
                                                    7    Starbucks               6
                                                    8    Starbucks               6
                                                    9    SIGG                   12
                                                   10    SIGG                   16
                                                   11    SIGG                    9
                                                   12    SIGG                   23
                                                   13    SIGG                   11
                                                   14    SIGG                 20.5
                                                   15    SIGG                 12.5
                                                   16    SIGG                 20.5
                                                   17    SIGG                 24.5
                                                   18    CUPPS                   6
                                                   19    CUPPS                   6
                                                   20    CUPPS                18.5
                                                   21    CUPPS                  10
                                                   22    CUPPS                17.5
                                                   23    CUPPS                  11
                                                   24    CUPPS                 6.5
                                                   25    Nissan                  2
                                                   26    Nissan                1.5
                                                   27    Nissan                  2
                                                   28    Nissan                  3
                                                   29    Nissan                  0
                                                   30    Nissan                  7
                                                   31    Nissan                0.5
                                                   32    Nissan                  6
