                     Obs             pig    feed     weight
 
                       1               1    feed1     60.8
                       2               1    feed2     68.7
                       3               1    feed3     92.6
                       4               1    feed4     87.9
                       5               2    feed1     57.0
                       6               2    feed2     67.7
                       7               2    feed3     92.1
                       8               2    feed4     84.2
                       9               3    feed1     65.0
                      10               3    feed2     74.0
                      11               3    feed3     90.2
                      12               3    feed4     83.1
                      13               4    feed1     58.6
                      14               4    feed2     66.3
                      15               4    feed3     96.5
                      16               4    feed4     85.7
                      17               5    feed1     61.7
                      18               5    feed2     69.8
                      19               5    feed3     99.1
                      20               5    feed4     90.3
