                     Obs             pig    weight    feed
 
                       1               1     60.8     feed1
                       2               1     68.7     feed2
                       3               1     92.6     feed3
                       4               1     87.9     feed4
                       5               2     57.0     feed1
                       6               2     67.7     feed2
                       7               2     92.1     feed3
                       8               2     84.2     feed4
                       9               3     65.0     feed1
                      10               3     74.0     feed2
                      11               3     90.2     feed3
                      12               3     83.1     feed4
                      13               4     58.6     feed1
                      14               4     66.3     feed2
                      15               4     96.5     feed3
                      16               4     85.7     feed4
                      17               5     61.7     feed1
                      18               5     69.8     feed2
                      19               5     99.1     feed3
                      20               5     90.3     feed4
